symbol,time,open,high,low,close,volume
ACB,2026-06-10,22.83,23.31,22.53,22.83,38043997
ACB,2026-06-11,22.57,22.88,22.57,22.83,23618890
ACB,2026-06-12,23.0,23.35,22.83,22.83,61192641
ACB,2026-06-15,23.1,23.1,22.5,22.75,16028410
ACB,2026-06-16,22.8,22.85,22.3,22.3,13363274
ACB,2026-06-17,22.3,22.3,21.9,22.0,20872225
ACB,2026-06-18,22.0,22.55,22.0,22.4,12575431
ACB,2026-06-19,22.4,22.45,22.05,22.2,7449991
ACB,2026-06-22,22.2,22.3,21.95,22.0,9958486
ACB,2026-06-23,22.0,22.85,21.9,22.35,22629615
ACB,2026-06-24,22.35,22.7,22.3,22.5,10848609
ACB,2026-06-25,22.55,22.7,22.35,22.4,10319900
ACB,2026-06-26,22.35,22.65,22.35,22.6,10774200
ACB,2026-06-29,22.6,23.0,22.6,22.9,13106300
ACB,2026-06-30,22.95,22.95,22.6,22.65,6785500
ACB,2026-07-01,22.65,22.8,22.45,22.65,10671800
ACB,2026-07-02,22.65,23.0,22.55,22.65,10197900
ACB,2026-07-03,22.55,22.65,22.45,22.65,10682700
ACB,2026-07-06,22.65,22.7,22.05,22.2,12785000
ACB,2026-07-07,22.2,22.6,22.15,22.6,11125100
ACB,2026-07-08,22.6,22.85,22.55,22.7,9270600
ACB,2026-07-09,22.6,23.2,22.45,22.8,18929000
ACB,2026-07-10,22.8,22.85,22.55,22.55,7372900
