symbol,time,open,high,low,close,volume
TCB,2026-06-10,31.05,31.25,30.9,30.95,4691800
TCB,2026-06-11,30.95,31.05,30.8,30.85,6590700
TCB,2026-06-12,31.3,31.45,31.05,31.25,10931200
TCB,2026-06-15,31.7,31.95,31.25,31.7,10553500
TCB,2026-06-16,31.8,31.9,31.55,31.75,7120000
TCB,2026-06-17,31.75,31.8,31.35,31.45,16629400
TCB,2026-06-18,31.45,31.5,31.15,31.2,8917000
TCB,2026-06-19,31.25,31.3,30.9,30.95,10874100
TCB,2026-06-22,31.15,31.15,30.9,30.9,5678600
TCB,2026-06-23,31.0,33.05,31.0,32.05,28233400
TCB,2026-06-24,32.5,32.95,32.0,32.5,17964000
TCB,2026-06-25,32.7,33.5,32.45,33.4,20973800
TCB,2026-06-26,33.4,33.45,32.9,33.4,10271000
TCB,2026-06-29,33.3,33.9,33.25,33.8,14115800
TCB,2026-06-30,33.85,33.85,33.45,33.5,9363600
TCB,2026-07-01,33.55,34.5,33.5,34.3,14899400
TCB,2026-07-02,34.35,34.6,33.8,33.85,12377100
TCB,2026-07-03,33.95,33.95,33.2,33.6,15380400
TCB,2026-07-06,33.6,33.95,33.2,33.75,10686300
TCB,2026-07-07,33.75,33.85,33.35,33.85,7544400
TCB,2026-07-08,33.85,34.2,33.75,33.75,12585200
TCB,2026-07-09,33.55,33.65,33.15,33.15,11473700
TCB,2026-07-10,33.15,33.2,32.3,32.4,16294000
