symbol,time,open,high,low,close,volume
VCB,2026-06-10,61.6,62.2,61.6,61.7,2309200
VCB,2026-06-11,61.5,61.9,61.3,61.6,2588500
VCB,2026-06-12,61.9,62.1,61.6,61.6,3152300
VCB,2026-06-15,62.3,62.4,61.6,61.6,5222300
VCB,2026-06-16,61.8,62.3,61.6,61.8,3110000
VCB,2026-06-17,61.8,62.4,61.6,62.2,6825500
VCB,2026-06-18,62.3,62.4,61.6,61.6,4650700
VCB,2026-06-19,61.9,61.9,61.2,61.7,4869000
VCB,2026-06-22,61.7,61.8,61.2,61.3,2686300
VCB,2026-06-23,61.7,62.6,61.3,61.3,5176000
VCB,2026-06-24,61.4,61.6,61.0,61.0,2542500
VCB,2026-06-25,61.1,61.3,60.8,60.8,3093500
VCB,2026-06-26,61.0,61.5,60.8,61.4,3344300
VCB,2026-06-29,61.6,62.2,61.4,62.0,5481600
VCB,2026-06-30,62.2,62.6,61.9,62.2,4622500
VCB,2026-07-01,62.4,63.0,62.1,63.0,4232900
VCB,2026-07-02,63.0,63.1,62.1,62.1,2744500
VCB,2026-07-03,62.3,62.4,62.0,62.0,2601900
VCB,2026-07-06,62.0,62.5,60.7,61.2,4173100
VCB,2026-07-07,61.2,61.5,60.9,61.3,2547200
VCB,2026-07-08,61.3,61.8,61.1,61.6,2051000
VCB,2026-07-09,61.3,61.5,61.0,61.1,2209800
VCB,2026-07-10,61.1,61.5,60.5,60.5,3016400
