symbol,time,open,high,low,close,volume
VNM,2026-06-10,56.55,57.03,56.36,57.03,2357629
VNM,2026-06-11,56.94,57.71,56.65,57.32,1809873
VNM,2026-06-12,57.42,57.9,57.13,57.13,3494401
VNM,2026-06-15,57.42,57.9,57.42,57.81,2026853
VNM,2026-06-16,57.9,57.9,57.23,57.23,2034353
VNM,2026-06-17,57.23,57.81,57.13,57.13,2843129
VNM,2026-06-18,57.61,57.81,57.23,57.32,2486869
VNM,2026-06-19,57.32,57.52,57.03,57.13,3354797
VNM,2026-06-22,57.61,57.71,56.74,56.74,3005261
VNM,2026-06-23,56.84,57.13,56.55,56.55,2300575
VNM,2026-06-24,56.74,56.84,56.26,56.45,1538566
VNM,2026-06-25,56.65,56.74,56.36,56.45,1812950
VNM,2026-06-26,56.8,56.8,55.9,56.3,3185030
VNM,2026-06-29,56.5,56.5,56.0,56.1,1480380
VNM,2026-06-30,56.1,56.2,54.7,54.8,9342717
VNM,2026-07-01,55.0,55.5,54.8,55.2,2361716
VNM,2026-07-02,55.3,56.0,55.3,55.5,3681754
VNM,2026-07-03,55.5,55.7,54.7,54.9,4144347
VNM,2026-07-06,55.0,55.4,54.6,55.3,3223561
VNM,2026-07-07,55.2,55.3,54.9,55.1,1616241
VNM,2026-07-08,55.0,55.7,55.0,55.7,3711600
VNM,2026-07-09,55.6,55.9,55.4,55.7,2469400
VNM,2026-07-10,55.9,56.7,55.8,56.6,5573700
